algorithm,dataset,query_id,version,decision,predicted_query_id,correct_match,authorized_hit,false_positive_reuse,abstained,total_match_ms,error
fuzzy,wisdm,4,v1,exact_hit,4,True,True,False,False,0.00645900217932649,
hybrid,wisdm,4,v2,hybrid_hit,4,True,True,False,False,5.9237500026938505,
fuzzy,wisdm,4,v2,unsafe_ablation_hit,4,True,True,False,False,2.5620829983381554,
hybrid,wisdm,4,v3,hybrid_hit,4,True,True,False,False,6.4031250003608875,
fuzzy,wisdm,4,v3,unsafe_ablation_hit,4,True,True,False,False,2.722707999055274,
hybrid,wisdm,5,v1,exact_hit,5,True,True,False,False,0.01195799995912239,
fuzzy,wisdm,5,v1,exact_hit,5,True,True,False,False,0.018167000234825537,
hybrid,wisdm,5,v2,exact_hit,5,True,True,False,False,0.009208000847138464,
fuzzy,wisdm,5,v2,exact_hit,5,True,True,False,False,0.006833000952610746,
hybrid,wisdm,5,v3,low_confidence_candidate,5,True,False,False,True,7.170582997787278,
fuzzy,wisdm,5,v3,unsafe_ablation_hit,5,True,True,False,False,3.5920830014219973,
hybrid,wisdm,6,v1,exact_hit,6,True,True,False,False,0.009584000508766621,
fuzzy,wisdm,6,v1,exact_hit,6,True,True,False,False,0.0070829992182552814,
hybrid,wisdm,6,v2,hybrid_hit,6,True,True,False,False,7.639167000888847,
fuzzy,wisdm,6,v2,unsafe_ablation_hit,6,True,True,False,False,4.8996250006894115,
hybrid,wisdm,6,v3,exact_hit,6,True,True,False,False,0.009957999282050878,
fuzzy,wisdm,6,v3,exact_hit,6,True,True,False,False,0.006708000000799075,
hybrid,wisdm,7,v1,exact_hit,7,True,True,False,False,0.00875000114319846,
fuzzy,wisdm,7,v1,exact_hit,7,True,True,False,False,0.006790996849304065,
hybrid,wisdm,7,v2,hybrid_hit,7,True,True,False,False,6.499792001704918,
fuzzy,wisdm,7,v2,unsafe_ablation_hit,7,True,True,False,False,2.909582999564009,
hybrid,wisdm,7,v3,hybrid_hit,7,True,True,False,False,6.391333998180926,
fuzzy,wisdm,7,v3,unsafe_ablation_hit,7,True,True,False,False,2.879375002521556,
hybrid,wisdm,8,v1,exact_hit,8,True,True,False,False,0.011000000085914508,
fuzzy,wisdm,8,v1,exact_hit,8,True,True,False,False,0.006250000296859071,
hybrid,wisdm,8,v2,hybrid_hit,8,True,True,False,False,7.312249999813503,
fuzzy,wisdm,8,v2,unsafe_ablation_hit,8,True,True,False,False,3.468208000413142,
hybrid,wisdm,8,v3,hybrid_hit,8,True,True,False,False,6.7714590004470665,
fuzzy,wisdm,8,v3,unsafe_ablation_hit,8,True,True,False,False,3.4320420018048026,
hybrid,wisdm,13,v1,exact_hit,13,True,True,False,False,0.010042000212706625,
fuzzy,wisdm,13,v1,exact_hit,13,True,True,False,False,0.007709000783506781,
hybrid,wisdm,13,v2,hybrid_hit,13,True,True,False,False,10.214208999968832,
fuzzy,wisdm,13,v2,unsafe_ablation_hit,13,True,True,False,False,7.037709001451731,
hybrid,wisdm,13,v3,hybrid_hit,13,True,True,False,False,9.994249998271698,
fuzzy,wisdm,13,v3,unsafe_ablation_hit,13,True,True,False,False,7.463750000169966,
hybrid,wisdm,14,v1,exact_hit,14,True,True,False,False,0.011042000551242381,
fuzzy,wisdm,14,v1,exact_hit,14,True,True,False,False,0.006499998562503606,
hybrid,wisdm,14,v2,hybrid_hit,14,True,True,False,False,10.180500001297332,
fuzzy,wisdm,14,v2,unsafe_ablation_hit,14,True,True,False,False,6.999207998887869,
hybrid,wisdm,14,v3,hybrid_hit,14,True,True,False,False,10.314667000784539,
fuzzy,wisdm,14,v3,unsafe_ablation_hit,14,True,True,False,False,7.244125001307111,
hybrid,wisdm,15,v1,exact_hit,15,True,True,False,False,0.01133299883804284,
fuzzy,wisdm,15,v1,exact_hit,15,True,True,False,False,0.006750000466126949,
hybrid,wisdm,15,v2,hybrid_hit,15,True,True,False,False,10.025999999925261,
fuzzy,wisdm,15,v2,unsafe_ablation_hit,15,True,True,False,False,6.979791000048863,
hybrid,wisdm,15,v3,hybrid_hit,15,True,True,False,False,10.667792001186172,
fuzzy,wisdm,15,v3,unsafe_ablation_hit,15,True,True,False,False,7.3397080013819505,
hybrid,wisdm,16,v1,exact_hit,16,True,True,False,False,0.010291998478351161,
fuzzy,wisdm,16,v1,exact_hit,16,True,True,False,False,0.006708000000799075,
hybrid,wisdm,16,v2,hybrid_hit,16,True,True,False,False,10.532083000725834,
fuzzy,wisdm,16,v2,unsafe_ablation_hit,16,True,True,False,False,7.248000001709443,
hybrid,wisdm,16,v3,hybrid_hit,16,True,True,False,False,9.802624997973908,
fuzzy,wisdm,16,v3,unsafe_ablation_hit,16,True,True,False,False,7.670458002394298,
hybrid,mit_ecg,1,v1,exact_hit,1,True,True,False,False,0.011125001037726179,
fuzzy,mit_ecg,1,v1,exact_hit,1,True,True,False,False,0.00695799826644361,
hybrid,mit_ecg,1,v2,hybrid_hit,1,True,True,False,False,6.312166999123292,
fuzzy,mit_ecg,1,v2,unsafe_ablation_hit,1,True,True,False,False,2.48641699727159,
hybrid,mit_ecg,1,v3,hybrid_hit,1,True,True,False,False,5.792959000245901,
fuzzy,mit_ecg,1,v3,complete_miss,1,True,False,False,True,2.1681250000256114,
hybrid,mit_ecg,2,v1,exact_hit,2,True,True,False,False,0.010125000699190423,
fuzzy,mit_ecg,2,v1,exact_hit,2,True,True,False,False,0.007165999704739079,
hybrid,mit_ecg,2,v2,hybrid_hit,2,True,True,False,False,6.295416998909786,
fuzzy,mit_ecg,2,v2,unsafe_ablation_hit,2,True,True,False,False,2.2270000008575153,
hybrid,mit_ecg,2,v3,hybrid_hit,2,True,True,False,False,6.0784159977629315,
fuzzy,mit_ecg,2,v3,unsafe_ablation_hit,2,True,True,False,False,2.497000001312699,
hybrid,mit_ecg,3,v1,exact_hit,3,True,True,False,False,0.009458002750761807,
fuzzy,mit_ecg,3,v1,exact_hit,3,True,True,False,False,0.006834001396782696,
hybrid,mit_ecg,3,v2,hybrid_hit,3,True,True,False,False,6.226375000551343,
fuzzy,mit_ecg,3,v2,unsafe_ablation_hit,3,True,True,False,False,2.0453750003071036,
hybrid,mit_ecg,3,v3,hybrid_hit,3,True,True,False,False,6.857374999526655,
fuzzy,mit_ecg,3,v3,unsafe_ablation_hit,3,True,True,False,False,2.5311249992228113,
hybrid,mit_ecg,4,v1,exact_hit,4,True,True,False,False,0.009958999726222828,
fuzzy,mit_ecg,4,v1,exact_hit,4,True,True,False,False,0.006917001883266494,
hybrid,mit_ecg,4,v2,hybrid_hit,4,True,True,False,False,6.8716250025318,
fuzzy,mit_ecg,4,v2,unsafe_ablation_hit,4,True,True,False,False,2.3747079976601526,
hybrid,mit_ecg,4,v3,hybrid_hit,4,True,True,False,False,6.774416000553174,
fuzzy,mit_ecg,4,v3,unsafe_ablation_hit,4,True,True,False,False,2.4115419982990716,
hybrid,mit_ecg,5,v1,exact_hit,5,True,True,False,False,0.009374998626299202,
fuzzy,mit_ecg,5,v1,exact_hit,5,True,True,False,False,0.0070829992182552814,
hybrid,mit_ecg,5,v2,hybrid_hit,5,True,True,False,False,7.667208003113046,
fuzzy,mit_ecg,5,v2,unsafe_ablation_hit,5,True,True,False,False,3.211250001186272,
hybrid,mit_ecg,5,v3,hybrid_hit,5,True,True,False,False,7.406041000649566,
fuzzy,mit_ecg,5,v3,unsafe_ablation_hit,5,True,True,False,False,3.265708000981249,
hybrid,mit_ecg,6,v1,exact_hit,6,True,True,False,False,0.01016699752653949,
fuzzy,mit_ecg,6,v1,exact_hit,6,True,True,False,False,0.006624999514315277,
hybrid,mit_ecg,6,v2,exact_hit,6,True,True,False,False,0.009542000043438748,
fuzzy,mit_ecg,6,v2,exact_hit,6,True,True,False,False,0.006624999514315277,
hybrid,mit_ecg,6,v3,hybrid_hit,6,True,True,False,False,6.559833000210347,
fuzzy,mit_ecg,6,v3,unsafe_ablation_hit,6,True,True,False,False,2.6446249976288527,
hybrid,mit_ecg,7,v1,exact_hit,7,True,True,False,False,0.010708998161135241,
fuzzy,mit_ecg,7,v1,exact_hit,7,True,True,False,False,0.00695799826644361,
hybrid,mit_ecg,7,v2,exact_hit,7,True,True,False,False,0.00904199987417087,
fuzzy,mit_ecg,7,v2,exact_hit,7,True,True,False,False,0.0064589985413476825,
hybrid,mit_ecg,7,v3,hybrid_hit,7,True,True,False,False,6.948333000764251,
fuzzy,mit_ecg,7,v3,unsafe_ablation_hit,7,True,True,False,False,2.710499997192528,
hybrid,mit_ecg,8,v1,exact_hit,8,True,True,False,False,0.009333001798950136,
fuzzy,mit_ecg,8,v1,exact_hit,8,True,True,False,False,0.00654199902783148,
hybrid,mit_ecg,8,v2,hybrid_hit,8,True,True,False,False,6.560124998941319,
fuzzy,mit_ecg,8,v2,unsafe_ablation_hit,8,True,True,False,False,2.037249996647006,
hybrid,mit_ecg,8,v3,hybrid_hit,8,True,True,False,False,6.567542000993853,
fuzzy,mit_ecg,8,v3,unsafe_ablation_hit,8,True,True,False,False,2.1455000023706816,
hybrid,mit_ecg,13,v1,exact_hit,13,True,True,False,False,0.009875002433545887,
fuzzy,mit_ecg,13,v1,exact_hit,13,True,True,False,False,0.006833000952610746,
hybrid,mit_ecg,13,v2,hybrid_hit,13,True,True,False,False,10.612500002025627,
fuzzy,mit_ecg,13,v2,unsafe_ablation_hit,13,True,True,False,False,6.032792000041809,
hybrid,mit_ecg,13,v3,hybrid_hit,13,True,True,False,False,10.259082999255043,
fuzzy,mit_ecg,13,v3,unsafe_ablation_hit,13,True,True,False,False,6.142707999970298,
hybrid,mit_ecg,14,v1,exact_hit,14,True,True,False,False,0.011499996617203578,
fuzzy,mit_ecg,14,v1,exact_hit,14,True,True,False,False,0.00833300146041438,
hybrid,mit_ecg,14,v2,hybrid_hit,14,True,True,False,False,10.276958000758896,
fuzzy,mit_ecg,14,v2,ambiguous_multi_candidate,15,False,False,False,False,5.939708000369137,
hybrid,mit_ecg,14,v3,hybrid_hit,14,True,True,False,False,9.976584002288291,
fuzzy,mit_ecg,14,v3,ambiguous_multi_candidate,15,False,False,False,False,6.327833001705585,
hybrid,mit_ecg,15,v1,exact_hit,15,True,True,False,False,0.009707997378427535,
fuzzy,mit_ecg,15,v1,exact_hit,15,True,True,False,False,0.007124999683583155,
hybrid,mit_ecg,15,v2,hybrid_hit,15,True,True,False,False,10.062165998533601,
fuzzy,mit_ecg,15,v2,unsafe_ablation_hit,15,True,True,False,False,6.16045800052234,
hybrid,mit_ecg,15,v3,hybrid_hit,15,True,True,False,False,10.45529199836892,
fuzzy,mit_ecg,15,v3,unsafe_ablation_hit,15,True,True,False,False,6.211083000380313,
hybrid,mit_ecg,16,v1,exact_hit,16,True,True,False,False,0.01091699959943071,
fuzzy,mit_ecg,16,v1,exact_hit,16,True,True,False,False,0.006583999493159354,
hybrid,mit_ecg,16,v2,hybrid_hit,16,True,True,False,False,10.537833000853425,
fuzzy,mit_ecg,16,v2,unsafe_ablation_hit,16,True,True,False,False,6.117500000982545,
hybrid,mit_ecg,16,v3,hybrid_hit,16,True,True,False,False,10.087874998134794,
fuzzy,mit_ecg,16,v3,unsafe_ablation_hit,16,True,True,False,False,6.353459000820294,
